"person","item_MR05","item_MR01","item_MR08","item_MR07","item_MR02","item_MR03","item_MR04","item_MR10","item_MR09","item_MR06"
1535,0,1,0,1,1,1,1,0,0,1
1536,0,1,0,0,1,1,1,0,0,1
1537,0,0,0,0,0,0,0,0,0,0
1539,0,1,0,0,0,1,0,0,0,1
1541,0,0,0,0,0,0,0,0,0,0
1542,0,1,1,1,1,1,1,1,1,1
1543,0,1,0,0,0,0,0,0,0,0
1545,1,1,1,1,1,1,1,1,1,1
1546,1,1,1,1,1,1,1,1,0,1
1547,0,1,0,0,0,0,0,0,0,0
1548,0,1,0,0,0,1,1,0,0,1
1549,0,1,0,0,0,1,0,0,0,0
1551,0,1,0,1,1,1,1,0,0,1
1552,0,1,0,0,0,0,0,0,0,0
1553,0,1,0,0,0,0,0,0,0,0
1554,0,0,0,0,0,0,0,0,0,0
1555,1,1,1,1,1,1,1,1,1,1
1556,1,1,0,1,1,1,1,1,0,0
1557,1,1,1,1,1,1,1,0,1,1
1558,0,0,0,0,0,0,0,0,0,0
1559,0,0,0,0,0,0,0,0,0,0
1560,1,1,1,0,0,1,0,0,0,1
1563,0,1,0,1,1,1,1,1,1,1
1564,1,1,0,0,1,1,1,0,0,1
1566,0,1,0,0,1,1,1,0,1,1
1567,1,1,0,0,1,1,1,0,0,1
1568,1,1,0,0,1,1,0,0,0,1
1569,0,1,0,0,0,0,0,0,0,0
1570,1,1,1,0,1,1,1,0,1,0
1571,0,0,0,0,0,0,0,0,0,0
1572,NA,1,NA,NA,0,0,0,0,0,0
1573,1,1,1,1,1,1,1,0,1,1
1574,0,0,0,0,0,0,0,0,0,0
1577,1,1,1,1,1,1,1,1,0,1
1578,0,1,0,0,0,1,0,0,0,0
1579,1,1,0,1,1,1,1,0,0,1
1580,1,1,0,0,1,1,1,0,0,1
1581,0,1,0,0,0,0,0,0,0,0
1582,0,0,0,0,0,0,0,0,0,0
1583,1,1,1,1,1,0,1,1,0,1
1585,0,0,0,0,0,0,0,0,0,0
1586,0,1,0,0,1,1,1,0,0,0
1587,0,1,0,0,0,0,0,0,0,0
1589,1,1,1,0,1,1,1,0,0,0
1592,0,0,0,0,0,0,0,0,0,0
1593,1,1,1,1,1,1,1,1,0,1
1594,0,1,1,1,1,1,1,0,1,1
1595,0,1,1,0,0,1,0,0,0,0
1596,1,1,1,1,1,1,1,0,1,1
1597,1,1,1,1,1,1,1,1,1,1
1598,1,1,1,1,1,1,1,0,0,1
1599,NA,0,0,NA,0,0,NA,0,0,NA
1600,1,1,1,1,1,1,1,1,0,1
1601,1,1,0,0,0,1,1,0,0,1
1602,0,1,0,0,0,0,0,0,0,0
1603,0,1,1,1,1,1,1,0,1,1
1604,0,0,0,0,0,0,0,0,0,0
1605,0,1,0,0,0,0,1,0,0,0
1606,1,1,1,1,1,1,1,0,1,1
1607,1,1,1,0,1,1,1,0,0,0
1608,1,1,1,0,1,1,1,0,0,0
1609,0,0,0,0,0,0,0,0,0,0
1611,0,0,0,0,0,0,0,0,0,0
1612,0,0,0,0,0,0,0,0,0,0
1613,1,1,1,1,1,1,0,1,1,1
1614,1,1,1,0,1,1,0,0,0,0
1615,1,1,1,1,1,0,1,1,1,1
1616,1,1,1,1,1,1,1,1,1,1
1617,0,1,0,0,1,1,0,0,0,0
1618,1,1,1,1,1,1,1,0,1,1
1619,0,1,1,0,1,1,1,1,1,1
1620,1,1,1,1,1,1,1,0,0,1
1621,0,1,0,0,0,0,0,0,0,0
1622,0,1,0,0,0,0,0,0,0,0
1623,0,1,1,0,0,1,1,0,0,1
1625,0,1,0,0,0,1,0,0,0,1
1626,1,1,1,1,1,1,1,1,1,1
1627,0,1,1,0,1,1,0,0,1,0
1628,1,1,1,1,1,1,1,1,1,1
1630,0,1,0,0,0,0,0,0,1,0
1633,1,1,1,0,1,1,1,0,1,1
1634,1,1,0,1,1,1,1,1,1,0
1636,0,1,0,0,1,1,0,0,0,0
1637,0,1,0,0,0,0,0,0,0,0
1638,0,0,0,0,0,0,0,0,0,0
1639,1,1,1,1,1,1,1,0,1,1
1640,1,1,1,1,1,1,1,0,1,1
1641,0,0,0,0,0,0,0,0,0,0
1642,1,1,1,1,1,1,1,1,0,1
1643,0,0,0,0,0,1,1,0,0,0
1645,1,1,1,1,0,1,1,0,1,1
1647,0,1,0,0,0,0,0,0,0,0
1648,0,0,0,0,0,0,0,0,0,0
1649,0,1,0,0,0,1,1,0,0,1
1650,1,1,0,1,1,1,1,0,0,1
1651,0,0,0,0,0,0,0,0,0,0
1654,0,1,0,0,1,1,1,0,1,1
1656,0,1,0,0,1,1,1,0,1,1
1658,1,1,1,0,1,1,1,0,0,1
1659,1,1,1,1,1,1,1,0,0,0
1660,1,1,1,0,1,1,1,0,1,0
1661,0,0,0,0,0,0,0,0,0,0
1663,0,1,0,0,0,0,0,0,0,0
1665,1,1,1,1,1,1,1,0,1,1
