"row","fold"
1,"test"
2,"test"
3,"train"
4,"train"
5,"train"
6,"train"
7,"train"
8,"train"
9,"train"
10,"train"
11,"train"
12,"train"
13,"test"
14,"test"
15,"test"
16,"train"
17,"train"
18,"train"
19,"train"
20,"train"
21,"train"
22,"test"
23,"train"
24,"train"
25,"train"
26,"train"
27,"test"
28,"train"
29,"test"
30,"train"
31,"train"
32,"train"
33,"train"
34,"train"
35,"train"
36,"train"
37,"train"
38,"train"
39,"train"
40,"test"
41,"train"
42,"train"
43,"train"
44,"train"
45,"train"
46,"train"
47,"train"
48,"train"
49,"train"
50,"train"
51,"test"
52,"train"
53,"train"
54,"train"
55,"train"
56,"train"
57,"train"
58,"train"
59,"test"
60,"test"
61,"train"
62,"train"
63,"train"
64,"train"
65,"train"
66,"train"
67,"train"
68,"train"
69,"test"
70,"train"
71,"train"
72,"train"
73,"test"
74,"train"
75,"train"
76,"train"
77,"test"
78,"train"
79,"train"
80,"train"
81,"train"
82,"test"
83,"test"
84,"train"
85,"train"
86,"train"
87,"train"
88,"train"
89,"train"
90,"train"
91,"test"
92,"train"
93,"train"
94,"test"
95,"train"
96,"train"
97,"train"
98,"train"
99,"train"
100,"train"
101,"train"
102,"train"
103,"train"
104,"train"
105,"train"
106,"train"
107,"train"
108,"test"
109,"train"
110,"train"
111,"test"
112,"test"
113,"train"
114,"train"
115,"train"
116,"train"
117,"train"
118,"test"
119,"train"
120,"train"
121,"train"
122,"train"
123,"train"
124,"train"
125,"train"
126,"test"
127,"train"
128,"train"
129,"train"
130,"train"
131,"train"
132,"train"
133,"test"
134,"train"
135,"train"
136,"train"
137,"train"
138,"train"
139,"test"
140,"train"
141,"train"
142,"train"
143,"train"
144,"train"
145,"train"
146,"test"
147,"train"
148,"train"
149,"train"
150,"test"
151,"test"
152,"train"
153,"train"
154,"train"
155,"train"
156,"train"
157,"train"
158,"train"
159,"train"
160,"train"
161,"train"
162,"train"
163,"train"
164,"train"
165,"train"
166,"train"
167,"train"
168,"train"
169,"test"
170,"train"
171,"train"
172,"train"
173,"train"
174,"test"
175,"test"
176,"train"
177,"train"
178,"train"
179,"train"
180,"train"
181,"train"
182,"train"
183,"train"
184,"train"
185,"test"
186,"train"
187,"train"
188,"train"
189,"train"
190,"train"
191,"test"
192,"train"
193,"train"
194,"train"
195,"train"
196,"train"
197,"test"
198,"test"
199,"train"
200,"train"
201,"train"
202,"train"
203,"train"
204,"train"
205,"test"
206,"train"
207,"train"
208,"train"
209,"train"
210,"train"
211,"train"
212,"test"
213,"train"
214,"train"
215,"train"
216,"train"
217,"train"
218,"train"
219,"train"
220,"train"
221,"train"
222,"test"
223,"train"
224,"test"
225,"train"
226,"train"
227,"train"
228,"train"
229,"train"
230,"test"
231,"train"
232,"train"
233,"train"
234,"train"
235,"train"
236,"train"
237,"test"
238,"train"
239,"train"
240,"train"
241,"test"
242,"train"
243,"train"
244,"train"
245,"train"
246,"train"
247,"test"
248,"train"
249,"train"
250,"train"
251,"train"
252,"train"
253,"train"
254,"test"
255,"train"
256,"train"
257,"test"
258,"test"
259,"train"
260,"test"
261,"train"
262,"train"
263,"train"
264,"train"
265,"train"
266,"test"
267,"train"
268,"train"
269,"test"
270,"train"
271,"train"
272,"train"
273,"test"
274,"train"
275,"test"
276,"train"
277,"train"
278,"train"
279,"train"
280,"train"
281,"train"
282,"train"
283,"test"
284,"train"
285,"test"
286,"train"
287,"train"
288,"train"
289,"train"
290,"test"
291,"train"
292,"train"
293,"train"
294,"test"
295,"train"
296,"train"
297,"test"
298,"train"
299,"train"
300,"train"
301,"train"
302,"train"
303,"test"
304,"train"
305,"test"
306,"train"
307,"train"
308,"test"
309,"train"
310,"test"
311,"train"
312,"train"
313,"train"
314,"train"
315,"train"
316,"train"
317,"train"
318,"test"
319,"train"
320,"train"
321,"train"
322,"train"
323,"train"
324,"train"
325,"train"
326,"train"
327,"train"
328,"train"
329,"train"
330,"train"
331,"train"
332,"train"
333,"test"
334,"train"
335,"train"
336,"train"
337,"train"
338,"train"
339,"train"
340,"test"
341,"train"
342,"train"
343,"train"
344,"test"
345,"train"
346,"train"
347,"test"
348,"train"
349,"train"
350,"train"
351,"train"
352,"train"
353,"train"
354,"train"
355,"train"
356,"train"
357,"train"
358,"train"
359,"test"
360,"train"
361,"train"
362,"train"
363,"train"
364,"train"
365,"train"
366,"train"
367,"train"
368,"train"
369,"train"
370,"train"
371,"train"
372,"train"
373,"train"
374,"train"
375,"test"
376,"test"
377,"test"
378,"train"
379,"train"
380,"train"
381,"train"
382,"train"
383,"train"
384,"train"
385,"train"
386,"train"
387,"train"
388,"train"
389,"train"
390,"test"
391,"train"
392,"test"
393,"train"
394,"train"
395,"train"
396,"train"
397,"train"
398,"train"
399,"train"
400,"train"
401,"train"
402,"train"
403,"test"
404,"test"
405,"train"
406,"test"
407,"train"
408,"train"
409,"train"
410,"test"
411,"test"
412,"train"
413,"train"
414,"test"
415,"train"
416,"train"
417,"train"
418,"train"
419,"train"
420,"train"
421,"test"
422,"test"
423,"train"
424,"test"
425,"train"
426,"train"
427,"train"
428,"train"
429,"train"
430,"train"
431,"train"
432,"test"
433,"train"
434,"train"
435,"train"
436,"test"
437,"test"
438,"train"
439,"train"
440,"test"
441,"train"
442,"train"
443,"train"
444,"train"
445,"test"
446,"train"
447,"train"
448,"train"
449,"train"
450,"test"
451,"train"
452,"train"
453,"test"
