"row","fold"
1,"test"
2,"train"
3,"train"
4,"train"
5,"test"
6,"train"
7,"train"
8,"test"
9,"train"
10,"train"
11,"train"
12,"train"
13,"train"
14,"train"
15,"train"
16,"test"
17,"train"
18,"train"
19,"train"
20,"test"
21,"test"
22,"train"
23,"train"
24,"train"
25,"train"
26,"train"
27,"train"
28,"train"
29,"train"
30,"train"
31,"train"
32,"test"
33,"train"
34,"train"
35,"train"
36,"train"
37,"train"
38,"train"
39,"test"
40,"train"
41,"train"
42,"train"
43,"test"
44,"train"
45,"train"
46,"train"
47,"train"
48,"train"
49,"train"
50,"train"
51,"train"
52,"train"
53,"train"
54,"test"
55,"train"
56,"train"
57,"train"
58,"train"
59,"train"
60,"test"
61,"train"
62,"train"
63,"train"
64,"train"
65,"train"
66,"train"
67,"train"
68,"train"
69,"train"
70,"train"
71,"test"
72,"train"
73,"train"
74,"train"
75,"train"
76,"train"
77,"test"
78,"train"
79,"train"
80,"train"
81,"train"
82,"train"
83,"train"
84,"train"
85,"train"
86,"train"
87,"test"
88,"train"
89,"test"
90,"test"
91,"train"
92,"test"
93,"train"
94,"train"
95,"train"
96,"train"
97,"test"
98,"train"
99,"train"
100,"train"
101,"train"
102,"train"
103,"test"
104,"train"
105,"train"
106,"train"
107,"train"
108,"train"
109,"train"
110,"test"
111,"test"
112,"train"
113,"test"
114,"train"
115,"train"
116,"test"
117,"train"
118,"train"
119,"train"
120,"train"
121,"train"
122,"train"
123,"train"
124,"train"
125,"test"
126,"train"
127,"train"
128,"train"
129,"train"
130,"train"
131,"train"
132,"train"
133,"test"
134,"train"
135,"test"
136,"test"
137,"train"
138,"train"
139,"train"
140,"train"
141,"train"
142,"train"
143,"train"
144,"train"
145,"train"
146,"train"
147,"train"
148,"train"
149,"train"
150,"train"
151,"test"
152,"train"
153,"train"
154,"train"
155,"train"
156,"train"
157,"train"
158,"train"
159,"train"
160,"train"
161,"train"
162,"train"
163,"train"
164,"test"
165,"train"
166,"train"
167,"train"
168,"train"
169,"test"
170,"train"
171,"train"
172,"test"
173,"train"
174,"train"
175,"train"
176,"train"
177,"train"
178,"train"
179,"train"
180,"train"
181,"test"
182,"train"
183,"train"
184,"train"
185,"train"
186,"train"
187,"train"
188,"train"
189,"train"
190,"train"
191,"train"
192,"train"
193,"train"
194,"test"
195,"train"
196,"train"
197,"train"
198,"train"
199,"train"
200,"train"
201,"train"
202,"train"
203,"train"
204,"train"
205,"train"
206,"train"
207,"train"
208,"train"
209,"train"
210,"test"
211,"train"
212,"train"
213,"train"
214,"train"
215,"train"
216,"train"
217,"train"
218,"train"
219,"train"
220,"train"
221,"train"
222,"train"
223,"train"
224,"train"
225,"train"
226,"test"
227,"train"
228,"train"
229,"train"
230,"train"
231,"test"
232,"train"
233,"train"
234,"train"
235,"train"
236,"train"
237,"test"
238,"train"
239,"test"
240,"train"
241,"train"
242,"train"
243,"train"
244,"train"
245,"train"
246,"train"
247,"train"
248,"train"
249,"train"
250,"test"
251,"train"
252,"train"
253,"train"
254,"train"
255,"train"
256,"test"
257,"train"
258,"train"
259,"train"
260,"train"
261,"train"
262,"train"
263,"test"
264,"test"
265,"train"
266,"test"
267,"train"
268,"train"
269,"train"
270,"train"
271,"train"
272,"train"
273,"train"
274,"train"
275,"train"
276,"train"
277,"train"
278,"train"
279,"test"
280,"train"
281,"train"
282,"train"
283,"train"
284,"test"
285,"train"
286,"test"
287,"train"
288,"train"
289,"train"
290,"train"
291,"train"
292,"train"
293,"test"
294,"train"
295,"train"
296,"train"
297,"test"
298,"train"
299,"train"
300,"train"
301,"train"
302,"train"
303,"train"
304,"test"
305,"train"
306,"train"
307,"train"
308,"train"
309,"train"
310,"train"
311,"train"
312,"train"
313,"train"
314,"train"
315,"train"
316,"train"
317,"train"
318,"test"
319,"train"
320,"train"
321,"train"
322,"test"
323,"train"
324,"train"
325,"train"
326,"test"
327,"train"
328,"train"
329,"train"
330,"test"
331,"test"
332,"train"
333,"train"
334,"train"
335,"train"
336,"train"
337,"train"
338,"train"
339,"train"
340,"train"
341,"test"
342,"train"
343,"train"
344,"train"
345,"train"
346,"train"
347,"test"
348,"test"
349,"train"
350,"test"
351,"train"
352,"train"
353,"train"
354,"train"
355,"train"
356,"train"
357,"train"
358,"train"
359,"train"
360,"train"
361,"train"
362,"test"
363,"test"
364,"train"
365,"test"
366,"train"
367,"train"
368,"train"
369,"train"
370,"train"
371,"train"
372,"train"
373,"train"
374,"train"
375,"train"
376,"train"
377,"train"
378,"train"
379,"train"
380,"train"
381,"train"
382,"train"
383,"train"
384,"train"
385,"test"
386,"train"
387,"train"
388,"train"
389,"train"
390,"train"
391,"train"
392,"train"
393,"test"
394,"test"
395,"test"
396,"train"
397,"train"
398,"train"
399,"train"
400,"train"
401,"train"
402,"train"
403,"train"
404,"test"
405,"train"
406,"train"
