"item_i","item_j","q3"
"item_MR08","item_MR07",-0.348941
"item_MR10","item_MR09",-0.274531
"item_MR08","item_MR09",-0.273055
"item_MR05","item_MR07",-0.25647
"item_MR03","item_MR10",-0.231028
"item_MR09","item_MR06",-0.224461
"item_MR08","item_MR06",-0.221326
"item_MR03","item_MR06",-0.21597
"item_MR05","item_MR04",-0.208678
"item_MR05","item_MR02",-0.204346
"item_MR02","item_MR03",-0.203529
"item_MR05","item_MR10",-0.198269
"item_MR08","item_MR02",-0.171539
"item_MR04","item_MR06",-0.167228
"item_MR02","item_MR04",-0.1523
"item_MR10","item_MR06",0.150905
"item_MR01","item_MR04",-0.145685
"item_MR08","item_MR10",-0.133212
"item_MR01","item_MR03",-0.118443
"item_MR05","item_MR06",-0.105885
"item_MR08","item_MR04",-0.101672
"item_MR07","item_MR03",-0.101212
"item_MR02","item_MR06",-0.093934
"item_MR03","item_MR04",-0.091909
"item_MR01","item_MR02",-0.077301
"item_MR02","item_MR09",-0.075726
"item_MR07","item_MR02",-0.074286
"item_MR07","item_MR04",-0.069358
"item_MR01","item_MR06",-0.067877
"item_MR01","item_MR07",-0.066533
"item_MR05","item_MR01",-0.061634
"item_MR05","item_MR08",0.058509
"item_MR07","item_MR06",0.052843
"item_MR04","item_MR10",-0.052196
"item_MR07","item_MR09",-0.049337
"item_MR07","item_MR10",-0.04301
"item_MR05","item_MR09",-0.042787
"item_MR04","item_MR09",-0.041079
"item_MR03","item_MR09",-0.039049
"item_MR01","item_MR09",0.037662
"item_MR01","item_MR10",-0.03113
"item_MR02","item_MR10",-0.029367
"item_MR01","item_MR08",-0.02886
"item_MR05","item_MR03",0.018449
"item_MR08","item_MR03",-0.006244
